Boat_Type,Manufacturer,Type,Year_Built,Length,Width,Material,Views_7_days,Country,Amount_US
Runabout,Safter Marine power boats,new boat from stock,2020,5.0,1.9,GRP,401,Switzerland,2985.0
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1993,6.14,2.34,Plastic,2026,Switzerland,2985.0
Sport Boat,Yamarin power boats,new boat from stock,2020,4.86,1.96,Aluminium,145,Germany,20366.5
Trawler,Beachcraft power boats,Used boat,1981,8.2,3.1,Steel,118,Netherlands,21450.0
Cabin Boat,Waterland power boats,Used boat,1975,8.2,3.1,GRP,101,Netherlands,21450.0
Cabin Boat,KOK power boats,Used boat,2005,6.1,2.25,Steel,78,Netherlands,21450.0
Motor Yacht,Mazury power boats,"Used boat,Unleaded",2010,5.0,2.27,GRP,273,Germany,21450.0
Cabin Boat,Sea Ray power boats,Used boat,1996,8.95,2.59,GRP,778,Steinwiesen,21450.0
Cabin Boat,Bayliner power boats,Unleaded,2003,5.89,2.37,GRP,261,Germany,21439.0
Pontoon Boat,Calcagno power boats,"Used boat,Diesel",2014,5.95,2.27,GRP,163,Switzerland,3150.0
Motor Yacht,Pacific Craft power boats,"new boat from stock,Unleaded",2018,4.99,1.97,GRP,183,Switzerland,3142.5
Center console boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,117,Germany,21230.0
Pontoon Boat,MÃ¤ndli power boats,new boat from stock,2020,9.0,1.7,Wood,235,Switzerland,3120.0
Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,6.12,2.44,GRP,217,Italy,21890.0
Sport Boat,Galia power boats,"new boat from stock,Unleaded",2018,4.78,1.95,GRP,121,Germany,21890.0
Motor Yacht,Cytra power boats,"Used boat,Unleaded",1976,9.0,3.2,GRP,314,Germany,21890.0
Motor Yacht,Crownline power boats,Used boat,1997,7.5,2.59,GRP,122,Netherlands,21890.0
Bowrider,Chris Craft power boats,"Used boat,Unleaded",1995,7.83,2.58,PVC,165,France,21890.0
Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,6.16,2.29,GRP,375,Germany,21890.0
Sport Boat,Buster power boats,"Used boat,Unleaded",1994,4.95,1.97,Aluminium,80,Germany,21890.0
Sport Boat,Kelt power boats,"Used boat,Unleaded",2002,6.97,2.44,PVC,89,France,21890.0
Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2006,6.23,2.3,PVC,97,France,21890.0
Cabin Boat,Fjord power boats,"Used boat,Diesel",1984,8.15,2.9,GRP,280,Germany,21890.0
Sport Boat,Boesch power boats,"Used boat,Unleaded",1970,5.1,2.02,Wood,206,Germany,21890.0
Cabin Boat,Smartliner power boats,"Used boat,Unleaded",2017,5.7,2.25,GRP,159,Germany,21890.0
Motor Yacht,Doerak Sneek power boats,"Used boat,Diesel",1969,8.5,3.1,Steel,157,Belgium,21890.0
Pilothouse,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.75,2.54,GRP,153,Germany,22548.9
Sport Boat,Sting power boats,new boat from stock,2018,6.08,2.37,GRP,115,Germany,22539.000000000004
Center console boat,Sting power boats,new boat from stock,2020,5.3,2.15,GRP,118,Switzerland,3316.5
Sport Boat,Scand power boats,"Used boat,Unleaded",1989,8.5,3.0,GRP,537,Switzerland,3300.0
Pontoon Boat,Airon Marine power boats,"Used boat,Unleaded",1992,7.63,2.5,GRP,176,Switzerland,3300.0
Bowrider,Cranchi power boats,Used boat,1993,7.6,2.47,GRP,415,Switzerland,3300.0
Cabin Boat,Saga power boats,"Used boat,Diesel",1978,8.12,2.75,GRP,593,Switzerland,3300.0
Hardtop,Finnmaster power boats,"Used boat,Unleaded",2001,6.01,2.3,GRP,527,Switzerland,3300.0
Sport Boat,Draco power boats,"Used boat,Unleaded",1993,6.77,2.28,GRP,265,Switzerland,3300.0
Pilothouse,Sessa power boats,"Used boat,Unleaded",2006,6.5,2.43,GRP,466,Switzerland,3300.0
Pilothouse,Jeanneau power boats,"new boat on order,Unleaded",2020,5.64,2.45,GRP,73,Germany,23535.600000000002
Pilothouse,Atlantic Marine power boats,new boat from stock,2019,6.6,2.47,GRP,394,Switzerland,3450.0
Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.0,2.43,GRP,863,Switzerland,3450.0
Sport Boat,Galia power boats,"Used boat,Unleaded",2020,4.75,1.9,GRP,235,Switzerland,3450.0
Sport Boat,Capelli power boats,"Used boat,Unleaded",2016,5.01,2.28,Hypalon,135,Switzerland,3435.0
Sport Boat,Rio Iberica power boats,"Used boat,Unleaded",2004,5.5,2.05,GRP,457,Switzerland,3435.0
Sport Boat,Yamarin power boats,new boat from stock,2019,5.67,2.25,GRP,135,Germany,23199.000000000004
Sport Boat,Intermare power boats,"Used boat,Diesel",1991,6.45,2.4,GRP,49,Italy,23100.000000000004
Bowrider,Cobalt power boats,"Used boat,Unleaded",1996,6.35,2.54,GRP,97,Italy,23100.000000000004
Cabin Boat,Monterey power boats,"Used boat,Unleaded",1997,8.0,2.59,GRP,241,Italy,23100.000000000004
Sport Boat,Azimut power boats,"Used boat,Diesel",1989,9.23,3.18,PVC,190,France,23100.000000000004
Cabin Boat,Kelt power boats,Used boat,1992,8.8,2.98,GRP,146,Netherlands,23100.000000000004
Water ski,Correct Craft power boats,"Used boat,Unleaded",2007,6.0,2.33,GRP,141,Germany,24200.000000000004
Flybridge,Riva power boats,"Used boat,Diesel",1978,10.45,3.43,GRP,352,Italy,24200.000000000004
Motor Yacht,Cytra power boats,"Used boat,Diesel",1979,9.5,3.2,GRP,190,Germany,24200.000000000004
Center console boat,Crownline power boats,"Used boat,Unleaded",1996,7.5,2.59,GRP,111,Italy,24200.000000000004
Sport Boat,Ilver power boats,"Used boat,Unleaded",1989,7.0,2.48,GRP,100,Italy,24200.000000000004
Motor Yacht,Tullio Abbate power boats,Unleaded,1991,10.8,2.5,GRP,373,Germany,24200.000000000004
Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.47,2.29,GRP,86,Germany,25168.000000000004
Deck Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.65,2.2,GRP,140,Germany,25135.000000000004
Deck Boat,Yamarin power boats,new boat from stock,2020,5.28,2.09,Aluminium,114,Germany,25080.000000000004
Pontoon Boat,Sunchaser power boats,"new boat from stock,Unleaded",2018,5.18,2.29,Aluminium,87,Portugal,25049.2
Pilothouse,Jeanneau power boats,new boat on order,2020,5.79,2.46,GRP,49,Germany,25041.500000000004
Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,7.15,2.51,PVC,110,France,24970.000000000004
Motor Yacht,Master power boats,new boat on order,2020,5.42,2.32,GRP,142,France,24948.000000000004
Offshore Boat,Baja power boats,"Used boat,Unleaded",1988,7.28,2.54,GRP,422,Switzerland,3675.0
Classic,Chris Craft power boats,"Used boat,Unleaded",1976,9.3,3.4,GRP,417,Switzerland,3675.0
"Cabin Boat,Sport Boat,Wakeboard/Wakesurf",Galeon power boats,"Used boat,Unleaded",2015,6.19,2.48,GRP,867,Switzerland,3675.0
